"snid","timestamp [UNIX]","sntime","T_air [°C]","T_soil [°C]","H_air [%RH]","H_soil [%RH]","x_nt","x_vs","x_bat","x_art","x_rst","x_ic","x_adc","x_usart","fault"
"41BA26F1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41BA26F1",1,0,-24.7,0,0,0,0.79,0,0,0,0,0.72,0,0,1
"41BA26F1",2,0,-24.7,0,0,0,0.8,0,0,0,0,0.53,0,0,1
"41BA26F1",3,0,1,0,0,0,0.43,0,0,0,0,0.34,0,0,0
"41BA26F1",4,0,1.1,0,0,0,0.14,0,0,0,0,0.09,0,0,0
"41BA26F1",5,0,1.1,0,0,0,0.06,0,0,0,0,0,0,0,0
"41BA26F1",6,0,1.1,0,0,0,0.04,0,0,0,0,0,0,0,0
"41BA26F1",7,0,1.2,0,0,0,0.06,0,0,0,0,0,0,0,0
"41BA26F1",8,0,1.2,0,0,0,0.02,0,0,0,0,0,0,0,0
"41BA26F1",9,0,1,0,0,0,0.02,0,0,0,0,0.36,0,0,0
"41BA26F1",10,0,-24.7,0,0,0,0.03,0,0,0,0,0.91,0,0,1
"41BA26F1",11,0,0,0,0,0,0.04,0,0,0,0,0.56,0,0,0
"41BA26F1",12,0,0,0,0,0,0.01,0,0,0,0,0.27,0,0,0
"41BA26F1",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41BA26F1",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41BA26F1",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
